id,first,last,org,coauthors,title,abstract,type,orgc,name2,org2,orgc2,ID,session,day,order,room,talk_order,time
35,Scott D.,Foster,"Data61, CSIRO","Scott D. Foster, Wen-Hsi Yang, Peter Caley, John McEvoy, David Ramsey, Drew Terasaki Hart, David E. Uribe-Rivera, Romane H. Cristescu, Eric Vanderdys, Adam McKeown, Corey J. A. Bradshaw, Emma Lawrence, Andrew Hoskins",Koala Distirbution and Abundance,"The koala (*Phascolarctos cinereus*) is a well-known and studied Australian marsupial, but the species presents a complex case for conservation. Currently, most koala conservation efforts focus on local-scale population estimates, which are often based on expert opinion or anecdotal evidence, and either precede or ignore most (or all) available data. In contrast, conservation listing advice and associated recovery plans require population estimates at the species-range scale. A data-driven, national-scale population estimate including all available information will therefore guide effective management of koala populations by providing high-quality and objective information. To this end, we have designed nationally consistent survey, implemented it (with the aid of partners) and analysed the resulting data (and others). The design uses recently developed techniques (clustered spatially-balanced designs) whilst the analysis uses emerging models that incorporate multiple data types (e.g. point process, binary and count) that are often-enough collected using different equipment, protocols and staff. Integrated species distribution models (ISDMs) have, at their heart, a simple point process but this simplicity still allows for some complexity in terms of how different types of data can inform the point process. The model, when fitted to koala data, indicates that the distribution of koalas is patchy throughout much of eastern Australia. It also infers that there are more koalas than previously guessed. Our estimates provide unprecedented evidence to support nationally consistent and spatially explicit decision-making for koala conservation, and do so with relevant measures of uncertainty. ",talk,CSIRO,NA,NA,NA,C32,T2B,2,2,B,2,11.15
66,Sam,Rogers,University of Adelaide,"Wasin Pipattungsakul, Julian Taylor",Speed: An R package for Spatially Efficient Experimental Designs,"Agricultural field trials are typically designed using robust statistical randomisation, and best practice agricultural field trials also consider the spatial layouts of the experiment, and how that interacts with the treatments of interest. However, software providing access to spatially optimised experimental designs for field trials is not readily available and can be difficult for new users to get started with due to sparse documentation.

In this talk, we discuss the newly developed *speed* R package which provides easy access to a fully open-source package with comprehensive documentation to enable the design of spatially optimal experiments. The package offers model-free spatially optimal designs via a simulated annealing optimisation algorithm. It can produce a spatially optimal version of many types of experimental designs commonly used in agricultural research as well as many more complex designs such as incomplete block designs and partially replicated designs. It provides multiple objective functions out of the box, with the additional flexibility to choose or enable custom optimisation metrics, depending on the objective of the researcher. It also provides some helper functions for plotting and evaluating experimental designs either produced via *speed* or alternative design packages.

To demonstrate the package's capabilities, we present spatially optimal designs for challenging scenarios including two-dimensional blocking and partially replicated designs. We also show that speed is significantly faster compared to alternative software.",talk,Adelaide,NA,NA,NA,C54,T2B,2,2,B,3,11.15
67,Patrick,Li,Australian National University,NA,Running Human Subject Experiments via Online Crowdsourcing,"Crowdsourcing platforms such as Amazon Mechanical Turk and Prolific provide scalable and accessible tools for running online human subject experiments. This talk offers an overview of how to design, set up, and manage such studies effectively. Drawing on experience from multiple projects, I will walk through the key steps for obtaining ethics approval, compare platform workflows, and discuss considerations for participant recruitment, screening, task design, quality control, cost estimation, and common pitfalls. This session is intended for researchers planning to conduct behavioural, perceptual, or decision-making experiments, as well as those developing data annotation pipelines for machine learning or applied research.",talk,ANU,NA,NA,NA,C55,T2B,2,2,B,4,11.15
NA,Shonosuke,Sugasawa,Keio University,NA,Bayesian clustered ensemble prediction for multivariate time series,"We propose a novel methodology called the mixture of Bayesian predictive syntheses (MBPS) for multiple time series count data and apply the methodology to predict the numbers of COVID-19 inpatients and isolated cases in Japan and Korea at the subnational level. MBPS combines a set of predictive models and partitions the multiple time series into clusters based on their contribution to predicting the outcome. In this way MBPS leverages the shared information within each cluster and avoids using a multivariate count model, which is generally cumbersome to develop and implement. Our data analyses demonstrate that the proposed MBPS methodology has improved predictive accuracy and uncertainty quantification.",invited,Keio University,NA,NA,NA,I4,T3A,2,3,A,1,13.45
NA,Louise,McMillan,Victoria University of Wellington,"Daniel Fernández, Shirley Pledger, Richard Arnold, Ivy Liu, Eleni Matechou, Adam Glucksman",The difficulties of clustering categorical or mixed data,"I will discuss techniques for clustering categorical data that go beyond treating the data as numerical or converting the categories to dummy variables. I will talk about a range of approaches to clustering categorical data, including the \texttt{clustord} R package for clustering ordinal data, which uses model-based clustering via likelihoods and the EM algorithm. Then I will discuss a Bayesian approach from population genetics that may be extendable to general mixed datasets and is the subject of my latest research.",invited,Victoria University of Wellington,NA,NA,NA,I6,T3A,2,3,A,2,13.45
NA,Skipton N.C.,Woolley,CSIRO,"David Warton, Piers Dunstan",Species archetype models for presence-only data,"Joint species distribution modelling is a recently emerged and potentially powerful statistical method for analysing biodiversity data. Despite the plethora of presence-only occurrence data available for biodiversity analysis, there remain few examples of presence-only multiple-species modelling approaches. We present a mixture-of-regressions model for understanding how groups of species are distributed based on presence-only data. Our approach extends Species Archetype Models using a point process framework and incorporates joint estimation of sighting bias based on all species occurrences included in the model. We demonstrate that our method can accurately recapture mean and variance of parameters from simulated data sets and provide better estimates than those generated from multiple single species presence-only species distribution models. We apply our approach to a Myrtaceae presence-only occurrence dataset from New South Wales, Australia. We show that presence-only Species Archetype Models allow for the propagation of variance and uncertainty from the data through predictions, improving inference made on presence-only biodiversity data for multiple species.",invited,CSIRO,Scott Woolley,CSIRO,CSIRO,I9,T3A,2,3,A,3,13.45
2,Dean,Marchiori,Wave Data Labs,NA,Building Trust Without Peer Review: Establishing Reproducibility Standards in Industrial Statistical Consulting,"In academic research, peer review serves as a cornerstone for ensuring the credibility and reproducibility of findings. However, in industry, statistical consultants often operate without the formal structures of peer review, posing gaps in ensuring the reproducibility and trustworthiness of their analyses. 

This talk explores how statistical consultants for industry can proactively establish and adhere to standards that promote reproducibility and foster trust, even in the absence of traditional peer review mechanisms. 

Researchers, data scientists and statisticians often engage with and provide expertise to government, industry and other groups outside of academia. This expertise is often trusted implicitly and relied on to make important decisions. On the other hand, there are many well known criticisms of conventional peer review systems both in academic publishing and in commercial work. 

Drawing on practices from various industries, we will propose a pragmatic framework for the development and implementation of standardized reporting formats, the use of open-source tools for reproducible analysis, and the adoption of best practices for documentation and code sharing. We will also examine the role of professional organizations and industry consortia in setting guidelines that encourage transparency and accountability.

Attendees will gain insights into practical strategies for implementing reproducibility standards in their own consulting and research practices and contribute to a broader movement towards transparency and accountability in industrial statistics.",talk,Wave Data Labs,NA,NA,NA,C11,T3B,2,3,B,1,13.45
3,Xu,Ning,University of New South Wales,"David K E Chan, Coralie Williams, and Peter Humburg",Teaching Meta-Analysis for Systematic Reviewers with Mixed Statistical Training,"Higher-degree research (HDR) students often consider conducting a systematic review of their research domain, with the goal of synthesising their findings with a meta-analysis. However, the statistical training of HDR students and their supervisors can range from little to comprehensive. Consequently, we found in our consultations with these students that they may struggle in specifying their meta-analytical model, misinterpret their model outputs and diagnostics, or both, especially with complex meta-analytical models. Hence, we have developed a short course on meta-analysis to address these knowledge gaps. The course aims to develop students’ mastery in meta-analytical methods. We will present empirical findings on whether the course’s aim was met and discuss the pedagogical considerations made to accommodate the range of statistical training in our target cohort.",talk,UNSW,NA,NA,NA,C12,T3B,2,3,B,2,13.45
21,Alice,Richardson,Australian National University,NA,Tales from the jungle: a personal perspective of statistical consulting since COVID,"The period since COVID-19 has brought unique challenges to statistical consulting, with researchers venturing into unfamiliar statistical territory. The activities of an academic statistical consulting practice have therefore very much taken on the feel of a journey through a statistical jungle.

In this talk I will describe some of the more alarming encounters I have experienced in this jungle over the last five years. Examples will be selected from my client interactions within the broad biometric research field. Names and topics will be altered to protect the participants, but not so much as to alter the key learnings from the encounters.

These examples will cover the entire range of statistical endeavour. From power and sample size calculation through data collection to modelling, presentation of results and visualisation, no area of statistical activity is untouched by surprising methodological suggestions from researchers. The simultaneous emergence of large language models has also brought unexpected consequences in consulting practice, as researchers increasingly turn to AI tools for statistical guidance. I’ll draw out the patterns of common traps and highlight how the biometric community can assist and advise.

I will also discuss some of the practical strategies I have developed to carve out a safe path. These strategies can be used for navigating similar consulting challenges and for fostering better statistical practices in other collaborative research environments beyond academia.
",talk,ANU,NA,NA,NA,C22,T3B,2,3,B,3,13.45
70,Sharon  G.,Nielsen,Adelaide University,Sam Rogers and Annie Conway,"Better Conversations, Better Support: Strengthening Consulting through Practical Education and Community","Effective statistical consulting in agriculture depends not just on technical expertise, but on shared understanding, clear communication, and the confidence of those seeking advice. Through its series of practical agronomic workshops and the linked Community of Practice, the Biometry Hub has shown how targeted education can transform the way consulting support is delivered and received.

The workshops, typically four core sessions delivered over five days, cover the design of robust experiments, sound data collection, practical analysis, and clear interpretation of results. By equipping researchers and industry staff with these practical skills, the workshops lay the groundwork for more productive conversations between statisticians and collaborators.

The Community of Practice then extends this support beyond the workshop room. Monthly meetings held over Zoom create an informal space for participants to revisit concepts, tackle real-world questions, and build confidence alongside peers and mentors.
This talk will share how combining hands-on training, tailored tools like the biometryassist R package, and an ongoing network of support strengthens the consulting relationship, helping ensure that good statistical practice is not only taught, but actively put into practice across the grains industry.",talk,Adelaide,NA,NA,NA,C58,T3B,2,3,B,4,13.45
16,Chris,Brien,"The Plant Accelerator, University of Adelaide",NA,"Nested-factorial treatment models: types, their uses and examples","Most commonly factorial experiments involve several crossed treatment factors and the treatment model includes terms for all possible combinations of the treatment factors. However, treatment models that employ nested treatment factors are beneficial in a number of situations and could be used more often. Applicable situations include those in which (i) treatment factors are intrinsically nested, (ii) treatments involve one or more factors plus a control and (iii) treatments have been systematically allocated and/or are pseudoreplicated. Four basic types of nested factors that start with a single nesting factor are (i) one nested factor, (ii) multiple, crossed, nested factors, (iii) multiple, independent, nested factors, and (iv) a hierarchy of multiple, nested factors. Examples involving the different situations and types of nesting will be presented. Constructing the factors using the `R` package `dae` (Brien, 2025, <https://cran.r-project.org/package=dae>) will be described and the properties of the models discussed for the examples via their anatomies produced using `dae`.",talk,Adelaide,NA,NA,NA,C19,T4A,2,4,A,1,15.3
39,Sandra K.,Tanz,"Centre for Crop and Disease Management, Curtin University",NA,Integrating Spatial Data and On-Farm Experimentation to Understand Wheat Variety Performance Across Western Australia,"Understanding spatial variability in crop performance is critical to improving the statistical design and interpretation of variety trials at the farm scale. This pilot study investigates the integration of large-scale on-farm experimentation (OFE) with spatial data analysis to better understand genotype-by-environment interactions in wheat. The trial spans five grower-managed sites across Western Australia, incorporating two core wheat varieties—Scepter (a widely grown commercial line) and IGW6993 (a near-release InterGrain line)—with some growers also including Rockstar and Tomahawk CL Plus based on local relevance.

Each trial is embedded within commercial paddocks and implemented using strip trial designs aligned with paddock production zones identified from historical yield maps. This design allows statistical comparisons of varietal performance across contrasting spatial zones defined by environmental variation in soil, topography, and management history. The study aims to (1) develop robust methods for spatially aware experimental design in commercial cropping systems, and (2) assess the potential for OFE to complement small-plot trials in supporting variety selection and agronomic decision-making.

While the trial was only recently seeded (May 2025), preliminary outputs include trial design validation and early NDVI imagery from emergence. Future analyses will incorporate additional covariates such as soil electrical conductivity (EM mapping), NDVI time series, and topographic indices to model spatial responses. This work highlights the value of integrating spatial data into trial workflows and explores the role of predictive breeding tools in commercial agriculture.",talk,Curtin,NA,NA,NA,C35,T4A,2,4,A,2,15.3
61,Michael H.,Mumford,Queensland Department of Primary Industries,"Alan Huang, Alison M. Kelly",Multi-environment trial analysis of count data with complex variance structures using generalised linear mixed models,"The analysis of response data from agricultural field experiments conducted in multi-environment trials (METs) is typically performed using linear mixed models (LMMs). The strength of the LMM framework is in the ability to seamlessly model experimental design terms and to include complex variance structures, especially for unbalanced data. When the response variable is count data, the assumptions underpinning the LMM are violated and it is necessary to extend to a generalised linear mixed model (GLMM) approach. Statistical modelling using GLMMs introduces additional complexities arising from a combination of (i) susceptibility to large estimation biases due to approximations of the marginal likelihood, (ii) accounting for heterogeneity of variance/dispersion, and (iii) the increase in computational resources required.
In this talk, a statistical methodology is proposed for the MET analysis of count data. The analysis approach uses a GLMM framework, assuming an underlying mean-parameterised Conway-Maxwell Poisson distribution, that can account for arbitrarily under and over-dispersed count data. This framework enables partitioning of residual variation from genetic and other extraneous sources of variation, and adopts a factor-analytic model for the genotype by environment interaction effects. The proposed methodology is applied to a series of common bean trials, where the aim is genotype selection for the response variable pod count per plant. The analysis is implemented using the `glmmTMB R`-package, which uses automatic differentiation to enhance computational speed, the Laplace approximation estimation method to reduce estimation biases, and a residual maximum likelihood (REML)-like correction to further reduce estimation biases for variance components.
",talk,Qld DPI,NA,NA,NA,C49,T4A,2,4,A,3,15.3
14,Arjun,Sekhar,Macquarie University,Samuel Muller and Maurizio Manuguerra,Enhancing Fraud Detection in Banking through Random Survival Forests: Addressing Data Imbalance and Model Transparency,"With the rise in financial fraud amid growing transaction volumes, in this presentation we share our insights from the use of Random Survival Forests (RSFs) for enhancing fraud detection in banking systems. While many machine learning techniques prioritise accuracy, they overlook two crucial issues: the imbalance of fraud versus legitimate transaction data, and the transparency of the model decision-making process. 

We position RSFs as a potential solution, leveraging their time-to-event structure to enable dynamic fraud prediction and their ensemble nature to handle high-dimensional, skewed datasets. Using real-world transactional data, the presentation addresses model imbalance through resampling strategies and evaluates the model’s ability to detect minority-class fraud events without inflating false positives. 

Furthermore, the interpretability of RSFs is explored through explainable AI frameworks, offering transparency essential for regulatory compliance and institutional trust. By investigating RSFs to deliver fraud detection that is both accurate and accountable, this presentation bridges algorithmic robustness with transparency, advancing a practical and governance-aligned solution for responsible AI deployment in today’s increasingly regulated financial services landscape.",talk,MQ,NA,NA,NA,C2,T4B,2,4,B,1,15.3
19,Colleen H,Hunt,University of Queensland,David R. Jordan and Emma S. Mace,Using point cloud data to discover genomic regions associated with dynamic height,"Plant height in grain sorghum (*Sorghum bicolor L. Moench*), influences yield, lodging resistance, and harvestability, yet conventional methods usually measure plant height at maturity, but this single-time-point measurement misses the growth dynamics across the season. Tracking and analysing height over time can reveal more about the genetic factors controlling development rate and pattern. 
Data from 881 sorghum lines from a diverse population were planted in a partially replicated design with 1190 plots. UAV-based high-throughput phenotyping was used to generate weekly plant height measurements from emergence to flowering. These aerial images were collected and processed using photogrammetric software to create dense point clouds and canopy height models for each plot. 
A logistic regression model within a linear mixed model framework was applied to effectively depict the sigmoidal growth pattern typical of sorghum, with parameters indicating maximum height, growth rate, and inflection point. These biologically relevant parameters offered a straightforward, quantitative summary of each genotype’s growth trajectory. The logistic growth parameters were then used in a genome-wide association study (GWAS) to identify loci linked to the dynamic aspects of height development, with several significant associations detected. 
This is among the first studies to combine logistic growth modelling of high-throughput UAV data with GWAS to dissect the genetic control of growth dynamics in sorghum. Our findings underline the usefulness of logistic regression for modelling crop growth and showcase the effectiveness of combining UAV phenotyping, statistical growth modelling, and GWAS to identify genomic regions that influence developmental trajectories in sorghum.
",talk,UQ,NA,NA,NA,C21,T4B,2,4,B,2,15.3
48,Tong,Chen,Murdoch Children's Research Institute,Stijn Vansteelandt and Margarita Moreno-Betancur,Automatic debiased machine learning (autoDML) for causal inference: implementation and evaluation in real-world observational studies,"The estimation of average treatment effect (ATE) is a central goal of observational health research. Causal machine learning (CML) methods are increasingly popular for ATE estimation, as they leverage data-adaptive algorithms to account for complex relationships amongst confounders, exposure and outcome while ensuring valid inference. Major CML methods, such as double machine learning and targeted maximum likelihood estimation, offer robustness and efficiency advantages but they require first estimating the propensity score and then calculating treatment divided by the propensity score, known as the Riesz representer. Standard machine learning algorithms for the propensity score estimation are suboptimal as they are designed to minimise prediction error, ignoring that equally large estimation errors in small and large propensity scores propagate very differently into the ATE estimates upon taking the reciprocal. Automatic debiased machine learning (autoDML), introduced by Chernozhukov et al. (2021), addresses this issue by directly estimating the Riesz representer using machine learning methods, yielding a more stable alternative to standard CML methods. Despite its theoretical advances, autoDML remains largely unknown in biostatistical research and has not been compared to standard CML methods in realistic simulation studies. 
In this talk, we bridge these gaps by introducing autoDML and highlighting its advantages. We describe a practical, step-by-step guide for implementing autoDML, and compare autoDML with standard CML methods using comprehensive, realistic simulation studies. We further illustrate the utility of autoDML using data from the Longitudinal Study of Australian Children to evaluate the impact of overweight or obesity on cardiovascular outcomes in adolescence.",talk,Murdoch Children's Research Institute,NA,NA,NA,C42,T4B,2,4,B,3,15.3
